Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Business Profile,Is Featured?,District,Event Categories,Cost of Event,Event Date (Shown on Listing) REQUIRED,Time of the Event,Neighborhood (text),Event Details,RSVP/Event Link,Venue Name,Event Address,Age Range,Event email contact,Event Phone,Event Listing Img,Likes,CMS ID
Cruise ZooLights,cruise-zoolights-6756e,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f8325cef402dc77327a444,Mon Mar 18 2024 12:23:56 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:35 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,holiday-event; special-event,$135-$150 per vehicle,Mon Nov 06 2023 00:00:00 GMT+0000 (Coordinated Universal Time),5:30pm-10:30pm,,,https://www.phoenixzoo.org/events/cruise-2023/,Phoenix Zoo,"455 N Galvin Pkwy, Phoenix, AZ 85008",All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f663912fada763e5d2c904_651f550db6439e022d1c0eb3_zl_36.jpeg,,65f8325cef402dc77327a444
Creepy Candy Crawl,creepy-candy-crawl-2,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f8325c960d05b29c9db712,Mon Mar 18 2024 12:23:56 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:34 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,holiday-event; community-event; special-event,Free,Wed Oct 18 2023 00:00:00 GMT+0000 (Coordinated Universal Time),5:30PM-7:30PM,,,https://tempemarketplace.com/event/creepycandycrawl/,Tempe Marketplace,"2000 E Rio Salado Pkwy Tempe, AZ 85281",All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f8325b960d05b29c9db6d3_651ca1f0faf91bf6ef15c032_Screenshot%25202023-10-03%2520at%25204.21.13%2520PM.png,1,65f8325c960d05b29c9db712
Creepin' Candy Crawl,creepin-candy-crawl,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f8325b57e768b76bfb391a,Mon Mar 18 2024 12:23:55 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:34 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,community-event; grand-opening,Free,Tue Oct 31 2023 00:00:00 GMT+0000 (Coordinated Universal Time),4:00pm - 7:00pm,,,https://www.avondaleaz.gov/government/departments/parks-recreation/events/creepin-candy-crawl,Alamar Park,"4155 South El Mirage Road, Avondale, AZ 85323",All Ages,ActiveAvondale@AvondaleAZ.gov,(623) 333-2400,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f8325b57e768b76bfb388f_651e5bdbd54ce2eb94205328_638254667235530000.png,,65f8325b57e768b76bfb391a
Community Helper Visits,community-helpers-visits,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f8325b1bec6278442b2f04,Mon Mar 18 2024 12:23:55 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:32 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,special-event,Included in price of admission.,Mon Nov 27 2023 00:00:00 GMT+0000 (Coordinated Universal Time),11:30am-12:00pm,,,https://leoandlucaaz.com/book/,Leo & Luca,"6102 N 16th St Suite 13, Phoenix, AZ 85016",6 and under,info@leoandlucaaz.com,(602) 935-8780,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f8325b1bec6278442b2e6c_654c3b050a6fdf921bfb3f53_Screenshot%25202023-11-08%2520at%25206.46.32%2520PM.png,,65f8325b1bec6278442b2f04
COCOMELON PARTY TIME,cocomelon-party-time-11,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f8325a8fde2a7b74cc5c36,Mon Mar 18 2024 12:23:54 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:27 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,performance,"Starts at $30, children under 12 months are free",Sat Feb 17 2024 00:00:00 GMT+0000 (Coordinated Universal Time),12:00pm & 3:00pm,,,https://cocomelonpartytime.com/phoenix/,Tempe Marketplace,"15 S. McClintock Dr, Next to Red Robin Tempe, AZ 85281",All ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832537b14755c37f92de8_659e0d707f34362213c8a89e_Screenshot%25202024-01-09%2520at%25208.22.19%25E2%2580%25AFPM.png,,65f8325a8fde2a7b74cc5c36
COCOMELON PARTY TIME,cocomelon-party-time-10,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f8325a8fde2a7b74cc5c0b,Mon Mar 18 2024 12:23:54 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:27 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,performance,"Starts at $30, children under 12 months are free",Fri Feb 16 2024 00:00:00 GMT+0000 (Coordinated Universal Time),1:00pm & 3:30pm,,,https://cocomelonpartytime.com/phoenix/,Tempe Marketplace,"15 S. McClintock Dr, Next to Red Robin Tempe, AZ 85281",All ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832537b14755c37f92de8_659e0d707f34362213c8a89e_Screenshot%25202024-01-09%2520at%25208.22.19%25E2%2580%25AFPM.png,,65f8325a8fde2a7b74cc5c0b
Costume Yoga Class,costume-yoga-class,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f8325ac72005c3acf0c691,Mon Mar 18 2024 12:23:54 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:34 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,workshop; holiday-event,$15,Wed Oct 18 2023 00:00:00 GMT+0000 (Coordinated Universal Time),4:30pm-5:30pm,,,http://www.zenitout.com,Zen It Out,"849 E Kael St mesa, 85203",,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f8325ac72005c3acf0c675_652d9a7515202a5a78e01925_4c3f688e-e675-46cd-8a13-778a0a6af868.jpeg,,65f8325ac72005c3acf0c691
COCOMELON PARTY TIME,cocomelon-party-time-5,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f8325a1e679c07953aef7c,Mon Mar 18 2024 12:23:54 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:29 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,performance,"Starts at $30, children under 12 months are free",Sat Feb 03 2024 00:00:00 GMT+0000 (Coordinated Universal Time),12:00pm & 3:00pm,,,https://cocomelonpartytime.com/phoenix/,Tempe Marketplace,"15 S. McClintock Dr, Next to Red Robin Tempe, AZ 85281",All ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832537b14755c37f92de8_659e0d707f34362213c8a89e_Screenshot%25202024-01-09%2520at%25208.22.19%25E2%2580%25AFPM.png,,65f8325a1e679c07953aef7c
Copper Rain Fall Market,copper-rain-fall-market-18cc2,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f8325ac53ae7375be51db6,Mon Mar 18 2024 12:23:54 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:33 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,community-event; special-event; fundraiser,Free,Sat Nov 04 2023 00:00:00 GMT+0000 (Coordinated Universal Time),9:00am - 2:00pm,,,https://www.azboardwalk.com/event/free-copper-rain-fall-market/,AZ Boardwalk,"9500 East Vía de Ventura, Suite E-100 Scottsdale, AZ 85256",All Ages,info@azboardwalk.com,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f66390f9ed005fb36ba8bd_651e4cdd8c183d3b7871a6c4_Untitled-1920-%25C3%2597-1080-px-.png,,65f8325ac53ae7375be51db6
Community Day at Desert Botanical Garden,community-day-at-desert-botanical-garden-6,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83259ef402dc77327a271,Mon Mar 18 2024 12:23:53 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 13:11:49 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 13:17:10 GMT+0000 (Coordinated Universal Time),,false,phoenix,community-event,Free,Tue Mar 12 2024 00:00:00 GMT+0000 (Coordinated Universal Time),8:00am - 8:00pm,,,https://ticketing.dbg.org/events/dedca0b6-6750-9a5f-568e-755ceeacc898,Desert Botanical Garden,"1201 N. GALVIN PARKWAY PHOENIX, AZ 85008",All ages,CONTACT@DBG.COM,480-941-1225,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83257630d51a46a997b96_651f4f029b92ae2b5627e70d_120ab47e-2d96-2564-46d1-e4bb0eccee15.jpeg,1,65f83259ef402dc77327a271
Community Day at Desert Botanical Garden,community-day-at-desert-botanical-garden-5-7e4f9,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832591d703b9a17e79d3e,Mon Mar 18 2024 12:23:53 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:32 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,community-event,Free,Tue Feb 13 2024 00:00:00 GMT+0000 (Coordinated Universal Time),8:00am - 8:00pm,,,https://ticketing.dbg.org/events/dedca0b6-6750-9a5f-568e-755ceeacc898,Desert Botanical Garden,"1201 N. GALVIN PARKWAY PHOENIX, AZ 85008",All ages,CONTACT@DBG.COM,480-941-1225,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83257630d51a46a997b96_651f4f029b92ae2b5627e70d_120ab47e-2d96-2564-46d1-e4bb0eccee15.jpeg,,65f832591d703b9a17e79d3e
Community Day at Desert Botanical Garden,community-day-at-desert-botanical-garden-4-21e42,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832594ceb38e718fc3e52,Mon Mar 18 2024 12:23:53 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:31 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,community-event,Free,Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),8:00am - 8:00pm,,,https://ticketing.dbg.org/events/dedca0b6-6750-9a5f-568e-755ceeacc898,Desert Botanical Garden,"1201 N. GALVIN PARKWAY PHOENIX, AZ 85008",All ages,CONTACT@DBG.COM,480-941-1225,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83257630d51a46a997b96_651f4f029b92ae2b5627e70d_120ab47e-2d96-2564-46d1-e4bb0eccee15.jpeg,,65f832594ceb38e718fc3e52
Community Day at Desert Botanical Garden,community-day-at-desert-botanical-garden-3-a818f,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83258f8742efcb8151ca0,Mon Mar 18 2024 12:23:52 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:31 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,community-event,Free,Tue Dec 12 2023 00:00:00 GMT+0000 (Coordinated Universal Time),8:00am - 8:00pm,,,https://ticketing.dbg.org/events/dedca0b6-6750-9a5f-568e-755ceeacc898,Desert Botanical Garden,"1201 N. GALVIN PARKWAY PHOENIX, AZ 85008",All ages,CONTACT@DBG.COM,480-941-1225,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83257630d51a46a997b96_651f4f029b92ae2b5627e70d_120ab47e-2d96-2564-46d1-e4bb0eccee15.jpeg,2,65f83258f8742efcb8151ca0
Community Day at Desert Botanical Garden,community-day-at-desert-botanical-garden-2-d971d,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83258e5a650ecf0800d1a,Mon Mar 18 2024 12:23:52 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:30 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,community-event,Free,Tue Nov 14 2023 00:00:00 GMT+0000 (Coordinated Universal Time),8:00am - 8:00pm,,,https://ticketing.dbg.org/events/dedca0b6-6750-9a5f-568e-755ceeacc898,Desert Botanical Garden,"1201 N. GALVIN PARKWAY PHOENIX, AZ 85008",All ages,CONTACT@DBG.COM,480-941-1225,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83257630d51a46a997b96_651f4f029b92ae2b5627e70d_120ab47e-2d96-2564-46d1-e4bb0eccee15.jpeg,,65f83258e5a650ecf0800d1a
Community Day at Desert Botanical Garden,community-day-at-desert-botanical-garden-e4e64,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83257630d51a46a997ba7,Mon Mar 18 2024 12:23:51 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:32 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,community-event,Free,Tue Oct 10 2023 00:00:00 GMT+0000 (Coordinated Universal Time),8:00am - 8:00pm,,,https://ticketing.dbg.org/events/dedca0b6-6750-9a5f-568e-755ceeacc898,Desert Botanical Garden,"1201 N. GALVIN PARKWAY PHOENIX, AZ 85008",All ages,CONTACT@DBG.COM,480-941-1225,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83257630d51a46a997b96_651f4f029b92ae2b5627e70d_120ab47e-2d96-2564-46d1-e4bb0eccee15.jpeg,,65f83257630d51a46a997ba7
Cafe Au Plait Play Date,coffee-playdate-at-cafe-au-plait,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832575204999f80b43a79,Mon Mar 18 2024 12:23:51 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:29 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,play-date; special-event,Cafe Purchase,Thu Aug 31 2023 00:00:00 GMT+0000 (Coordinated Universal Time),10:45 AM,,,https://phoenix-scottsdale.fit4mom.com/events-playgroups/coffee-playdate-at-caf-au-plait,Cafe Au Plait,"10405 E McDowell Mountain Ranch Rd Suite 100, Scottsdale, AZ 85255",Toddlers,phoenixscottsdale@fit4mom.com,(818) 651-2424,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832575204999f80b43a70_64e42251c1b043c306e8c3f6_400x400-4.png,,65f832575204999f80b43a79
Bug Fest,bug-fest-4b704,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83257692a2d1ce128fdfc,Mon Mar 18 2024 12:23:51 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:22 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,community-event; holiday-event; special-event,Free,Sun Oct 29 2023 00:00:00 GMT+0000 (Coordinated Universal Time),10:00am-2:00pm,,,https://www.azboardwalk.com/event/free-bug-fest-presented-by-butterfly-wonderland-foundation-2/,AZ Boardwalk,"9500 East Vía de Ventura, Suite E-100 Scottsdale, AZ 85256",All Ages,info@azboardwalk.com,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f6638bfc140df2f7a85e79_651e4bf58a89efd9bf1aec54_AZB_BugFest-Halloween23-WebEvent.jpeg,,65f83257692a2d1ce128fdfc
COCOMELON PARTY TIME,cocomelon-party-time-9,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832576a8fa6f3c0cba0d7,Mon Mar 18 2024 12:23:51 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:31 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,performance,"Starts at $30, children under 12 months are free",Sun Feb 11 2024 00:00:00 GMT+0000 (Coordinated Universal Time),9:30pm & 12:00pm,,,https://cocomelonpartytime.com/phoenix/,Tempe Marketplace,"15 S. McClintock Dr, Next to Red Robin Tempe, AZ 85281",All ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832537b14755c37f92de8_659e0d707f34362213c8a89e_Screenshot%25202024-01-09%2520at%25208.22.19%25E2%2580%25AFPM.png,,65f832576a8fa6f3c0cba0d7
COCOMELON PARTY TIME,cocomelon-party-time-8,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83256a206a75fd264f654,Mon Mar 18 2024 12:23:50 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:29 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,performance,"Starts at $30, children under 12 months are free",Sat Feb 10 2024 00:00:00 GMT+0000 (Coordinated Universal Time),9:30pm & 12:00pm,,,https://cocomelonpartytime.com/phoenix/,Tempe Marketplace,"15 S. McClintock Dr, Next to Red Robin Tempe, AZ 85281",All ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832537b14755c37f92de8_659e0d707f34362213c8a89e_Screenshot%25202024-01-09%2520at%25208.22.19%25E2%2580%25AFPM.png,,65f83256a206a75fd264f654
COCOMELON PARTY TIME,cocomelon-party-time-7,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83256635a7f5faa57d1dc,Mon Mar 18 2024 12:23:50 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:29 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,performance,"Starts at $30, children under 12 months are free",Fri Feb 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),1:00pm & 3:30pm,,,https://cocomelonpartytime.com/phoenix/,Tempe Marketplace,"15 S. McClintock Dr, Next to Red Robin Tempe, AZ 85281",All ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832537b14755c37f92de8_659e0d707f34362213c8a89e_Screenshot%25202024-01-09%2520at%25208.22.19%25E2%2580%25AFPM.png,,65f83256635a7f5faa57d1dc
COCOMELON PARTY TIME,cocomelon-party-time-6,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83256357f2cd4f6c1ba1a,Mon Mar 18 2024 12:23:50 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:29 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,performance,"Starts at $30, children under 12 months are free",Sun Feb 04 2024 00:00:00 GMT+0000 (Coordinated Universal Time),12:00pm,,,https://cocomelonpartytime.com/phoenix/,Tempe Marketplace,"15 S. McClintock Dr, Next to Red Robin Tempe, AZ 85281",All ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832537b14755c37f92de8_659e0d707f34362213c8a89e_Screenshot%25202024-01-09%2520at%25208.22.19%25E2%2580%25AFPM.png,,65f83256357f2cd4f6c1ba1a
COCOMELON PARTY TIME,cocomelon-party-time-4,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83255397696d8749c7225,Mon Mar 18 2024 12:23:49 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:28 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,performance,"Starts at $30, children under 12 months are free",Fri Feb 02 2024 00:00:00 GMT+0000 (Coordinated Universal Time),1:00pm & 3:30pm,,,https://cocomelonpartytime.com/phoenix/,Tempe Marketplace,"15 S. McClintock Dr, Next to Red Robin Tempe, AZ 85281",All ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832537b14755c37f92de8_659e0d707f34362213c8a89e_Screenshot%25202024-01-09%2520at%25208.22.19%25E2%2580%25AFPM.png,,65f83255397696d8749c7225
COCOMELON PARTY TIME,cocomelon-party-time-3,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f83254f6bba3c3592d660c,Mon Mar 18 2024 12:23:48 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:28 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,performance,"Starts at $30, children under 12 months are free",Sun Jan 28 2024 00:00:00 GMT+0000 (Coordinated Universal Time),3:00pm,,,https://cocomelonpartytime.com/phoenix/,Tempe Marketplace,"15 S. McClintock Dr, Next to Red Robin Tempe, AZ 85281",All ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832537b14755c37f92de8_659e0d707f34362213c8a89e_Screenshot%25202024-01-09%2520at%25208.22.19%25E2%2580%25AFPM.png,,65f83254f6bba3c3592d660c
COCOMELON PARTY TIME,cocomelon-party-time-2,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832547a199a77d2f18f9f,Mon Mar 18 2024 12:23:48 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:28 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,performance,"Starts at $30, children under 12 months are free",Sat Jan 27 2024 00:00:00 GMT+0000 (Coordinated Universal Time),12:00pm & 3:00pm,,,https://cocomelonpartytime.com/phoenix/,Tempe Marketplace,"15 S. McClintock Dr, Next to Red Robin Tempe, AZ 85281",All ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832537b14755c37f92de8_659e0d707f34362213c8a89e_Screenshot%25202024-01-09%2520at%25208.22.19%25E2%2580%25AFPM.png,,65f832547a199a77d2f18f9f
COCOMELON PARTY TIME,cocomelon-party-time-12,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832546a8fa6f3c0cb9e93,Mon Mar 18 2024 12:23:48 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:28 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,performance,"Starts at $30, children under 12 months are free",Sun Feb 18 2024 00:00:00 GMT+0000 (Coordinated Universal Time),9:30pm & 3:00pm,,,https://cocomelonpartytime.com/phoenix/,Tempe Marketplace,"15 S. McClintock Dr, Next to Red Robin Tempe, AZ 85281",All ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832537b14755c37f92de8_659e0d707f34362213c8a89e_Screenshot%25202024-01-09%2520at%25208.22.19%25E2%2580%25AFPM.png,,65f832546a8fa6f3c0cb9e93
COCOMELON PARTY TIME,cocomelon-party-time-13,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f8325471cd474950386e3b,Mon Mar 18 2024 12:23:48 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:28 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,performance,"Starts at $30, children under 12 months are free",Mon Feb 19 2024 00:00:00 GMT+0000 (Coordinated Universal Time),12:00pm,,,https://cocomelonpartytime.com/phoenix/,Tempe Marketplace,"15 S. McClintock Dr, Next to Red Robin Tempe, AZ 85281",All ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832537b14755c37f92de8_659e0d707f34362213c8a89e_Screenshot%25202024-01-09%2520at%25208.22.19%25E2%2580%25AFPM.png,,65f8325471cd474950386e3b
COCOMELON PARTY TIME,cocomelon-party-time,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832537b14755c37f92df8,Mon Mar 18 2024 12:23:47 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:26 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,performance,"Starts at $30, children under 12 months are free",Fri Jan 26 2024 00:00:00 GMT+0000 (Coordinated Universal Time),1:00pm & 3:30pm,,,https://cocomelonpartytime.com/phoenix/,Tempe Marketplace,"15 S. McClintock Dr, Next to Red Robin Tempe, AZ 85281",All ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832537b14755c37f92de8_659e0d707f34362213c8a89e_Screenshot%25202024-01-09%2520at%25208.22.19%25E2%2580%25AFPM.png,,65f832537b14755c37f92df8
Cinderella's Ball at Great Arizona Puppet Theater,cinderellas-ball-at-great-arizona-puppet-theater,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832538a48f514a59b10e4,Mon Mar 18 2024 12:23:47 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:26 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,,Non-Members $25,Sun Jan 14 2024 00:00:00 GMT+0000 (Coordinated Universal Time),Doors open and activities begin at 1:30pm and the show starts at 2pm,,,https://greatarizonapuppettheater.thundertix.com/,Great Arizona Puppet Theater,"302 W Latham St, Phoenix, AZ",All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832538a48f514a59b10da_659e294311178e0e1d8907de_cimderella.webp,,65f832538a48f514a59b10e4
Children's Gratitude Yoga Series by Alexandra at ABSolute Body & Soul,childrens-gratitude-yoga-series-by-alexandra-at-absolute-body-soul-3,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f8325373e7b2d38b85cc25,Mon Mar 18 2024 12:23:47 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:25 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,workshop,$25/Class $85/Series,Sat Nov 25 2023 00:00:00 GMT+0000 (Coordinated Universal Time),2:00pm-4:00pm,,,https://leoandlucaaz.com/book/,Leo & Luca,"6102 N 16th St Suite 13, Phoenix, AZ 85016",Ages 2-5,info@leoandlucaaz.com,(602) 935-8780,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f83252f59acafd7e9f9f38_654c38d3a41fd317dfe5c4bb_Screenshot%25202023-11-08%2520at%25206.41.31%2520PM.png,,65f8325373e7b2d38b85cc25
Christmas Eve All Day Snowfall at Desert Ridge Marketplace,christmas-eve-all-day-snowfall-at-desert-ridge-marketplace,65f427a42ba41fbbe6cf856d,65e73217be6f6c361a8a2870,65f832534e26082bfd231fec,Mon Mar 18 2024 12:23:47 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:50:26 GMT+0000 (Coordinated Universal Time),Mon May 13 2024 12:54:32 GMT+0000 (Coordinated Universal Time),,false,phoenix,holiday-event,Free,Sun Dec 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time),Every hour on the hour,,,https://shopdesertridge.com/event/snowfall/,Desert Ridge Marketplace,"21001 N Tatum Blvd, Phoenix, AZ 85050",All Ages,,,https://uploads-ssl.webflow.com/65d986465084e4f97312d7f4/65f832524e26082bfd231fdd_658378a1292668fb4333adb4_Screenshot%25202023-12-20%2520at%25204.27.35%25E2%2580%25AFPM.png,,65f832534e26082bfd231fec
